Date,Brand,AvgPrice,UnitSold,DrakeT,KanyeT,YeezyT,OffWhiteT
1/1/2018,Yeezy,408.8346457,127,11,6,8,3
1/2/2018,Off-White,652.25,16,11,6,8,3
1/2/2018,Yeezy,408.0993789,161,11,6,8,3
1/3/2018,Off-White,842.0909091,22,11,6,8,3
1/3/2018,Yeezy,394.3037975,158,11,6,8,3
1/4/2018,Off-White,805.95,20,10,6,7,4
1/4/2018,Yeezy,405.5185185,135,10,6,7,4
1/5/2018,Off-White,702.2380952,21,10,6,7,4
1/5/2018,Yeezy,404.2205882,136,10,6,7,4
1/6/2018,Off-White,828.3333333,15,10,6,7,4
1/6/2018,Yeezy,421.2035398,113,10,6,7,4
1/7/2018,Off-White,773.9285714,14,10,6,7,4
1/7/2018,Yeezy,407.5686275,102,10,6,7,4
1/8/2018,Off-White,804.2857143,14,10,6,7,4
1/8/2018,Yeezy,410.7131148,122,10,6,7,4
1/9/2018,Off-White,804.8823529,17,10,6,7,4
1/9/2018,Yeezy,412.4951456,103,10,6,7,4
1/10/2018,Off-White,728.7058824,17,10,6,7,4
1/10/2018,Yeezy,406.1238095,105,10,6,7,4
1/11/2018,Off-White,831,22,14,12,6,4
1/11/2018,Yeezy,418.3153153,111,14,12,6,4
1/12/2018,Off-White,815.8666667,15,14,12,6,4
1/12/2018,Yeezy,432.9238095,105,14,12,6,4
1/13/2018,Off-White,827.5714286,14,14,12,6,4
1/13/2018,Yeezy,426.90625,96,14,12,6,4
1/14/2018,Off-White,840,13,14,12,6,4
1/14/2018,Yeezy,408.4358974,78,14,12,6,4
1/15/2018,Off-White,741.7333333,15,14,12,6,4
1/15/2018,Yeezy,422.0900901,111,14,12,6,4
1/16/2018,Off-White,825.75,12,14,12,6,4
1/16/2018,Yeezy,440.1747573,103,14,12,6,4
1/17/2018,Off-White,851.4117647,17,14,12,6,4
1/17/2018,Yeezy,419.0909091,99,14,12,6,4
1/18/2018,Off-White,841.7,20,19,7,6,3
1/18/2018,Yeezy,441.0540541,111,19,7,6,3
1/19/2018,Off-White,773.0555556,18,19,7,6,3
1/19/2018,Yeezy,449.8448276,116,19,7,6,3
1/20/2018,Off-White,846.3125,16,19,7,6,3
1/20/2018,Yeezy,440.673913,92,19,7,6,3
1/21/2018,Off-White,850.8571429,14,19,7,6,3
1/21/2018,Yeezy,420.3846154,78,19,7,6,3
1/22/2018,Off-White,812.3076923,13,19,7,6,3
1/22/2018,Yeezy,449.3218391,87,19,7,6,3
1/23/2018,Off-White,783.9411765,17,19,7,6,3
1/23/2018,Yeezy,445.0930233,86,19,7,6,3
1/24/2018,Off-White,833.3571429,14,19,7,6,3
1/24/2018,Yeezy,439.027027,74,19,7,6,3
1/25/2018,Off-White,809.7333333,15,14,8,7,4
1/25/2018,Yeezy,417.25,92,14,8,7,4
1/26/2018,Off-White,749.7619048,21,14,8,7,4
1/26/2018,Yeezy,428.1585366,82,14,8,7,4
1/27/2018,Off-White,830.5384615,13,14,8,7,4
1/27/2018,Yeezy,424.9680851,94,14,8,7,4
1/28/2018,Off-White,874.2727273,11,14,8,7,4
1/28/2018,Yeezy,435.4857143,70,14,8,7,4
1/29/2018,Off-White,1088.666667,9,14,8,7,4
1/29/2018,Yeezy,457.7777778,72,14,8,7,4
1/30/2018,Off-White,954.9411765,17,14,8,7,4
1/30/2018,Yeezy,454.691358,81,14,8,7,4
1/31/2018,Off-White,833,11,14,8,7,4
1/31/2018,Yeezy,436.7125,80,14,8,7,4
2/1/2018,Off-White,977.2857143,14,14,7,6,3
2/1/2018,Yeezy,440.4719101,89,14,7,6,3
2/2/2018,Off-White,989.5714286,14,14,7,6,3
2/2/2018,Yeezy,435.9166667,72,14,7,6,3
2/3/2018,Off-White,877.3636364,11,14,7,6,3
2/3/2018,Yeezy,437.4935065,77,14,7,6,3
2/4/2018,Off-White,838.7777778,9,14,7,6,3
2/4/2018,Yeezy,433.4492754,69,14,7,6,3
2/5/2018,Off-White,944.125,8,14,7,6,3
2/5/2018,Yeezy,444.5,76,14,7,6,3
2/6/2018,Off-White,764.6666667,12,14,7,6,3
2/6/2018,Yeezy,442.525,80,14,7,6,3
2/7/2018,Off-White,961.0833333,12,14,7,6,3
2/7/2018,Yeezy,448.3953488,86,14,7,6,3
2/8/2018,Off-White,913.1818182,11,19,7,7,3
2/8/2018,Yeezy,436.4367816,87,19,7,7,3
2/9/2018,Off-White,960.2727273,11,19,7,7,3
2/9/2018,Yeezy,465.9873418,79,19,7,7,3
